n,futureMid,index,X,fundingFee,create_time
2,106.995,106.959065522275,0.0003359647688537,0.00016,"2019-11-26 16:00:00"
3,106.99,106.804766296425,0.0020702853427211,0.00069,"2019-11-26 16:01:04"
4,107.015,106.81647082565,0.0039288861073358,0.00098,"2019-11-26 16:02:02"
5,106.765,106.7839747748,0.0037511930139665,0.00075,"2019-11-26 16:03:06"
6,106.625,106.7594346648,0.0024919631836279,0.00041,"2019-11-26 16:04:00"
7,106.91,106.7842172589,0.0036698782756591,0.00052,"2019-11-26 16:05:05"
8,106.97,106.8355822052,0.0049280526780957,0.00061,"2019-11-26 16:06:00"
9,106.885,106.6645573624666667,0.0069947432732127,0.00077,"2019-11-26 16:07:00"
10,107.055,106.6649307223333333,0.0106517022664368,0.00106,"2019-11-26 16:08:00"
11,106.97,106.6874955504666667,0.0132996644111634,0.00120,"2019-11-26 16:09:00"
12,106.76,106.6195725942,0.0146167528442081,0.00121,"2019-11-26 16:10:00"
13,106.655,106.5825686206666667,0.0152963328193456,0.00117,"2019-11-26 16:11:00"
14,106.65,106.5078723957333333,0.0166307656745864,0.00118,"2019-11-26 16:12:00"
15,106.655,106.5047507999333333,0.0180414933551657,0.00120,"2019-11-26 16:13:00"
16,106.395,106.4148920356,0.0178545642964645,0.00111,"2019-11-26 16:14:00"
17,106.2,106.25684412205,0.0173195952549907,0.00101,"2019-11-26 16:15:00"
18,106.195,106.31862378805,0.0161568282472419,0.00089,"2019-11-26 16:16:00"
19,106.24,106.32449742685,0.0153621155620666,0.00080,"2019-11-26 16:17:00"
20,106.235,106.3473479195,0.0143056912910538,0.00071,"2019-11-26 16:18:00"
21,106.115,106.20164197485,0.013489866100041,0.00064,"2019-11-26 16:19:00"
22,106.135,106.1806123602,0.0130602927609339,0.00059,"2019-11-26 16:20:00"
23,106.155,105.9700911048,0.0148052086449556,0.00064,"2019-11-26 16:21:00"
24,106.18,105.969545247775,0.0167912014293251,0.00069,"2019-11-26 16:22:00"
25,105.945,105.806563332425,0.0180995953815987,0.00072,"2019-11-26 16:23:00"
26,106.08,105.9748166851,0.0190921266092067,0.00073,"2019-11-26 16:24:00"
27,106.18,106.01353745325,0.0206623274604272,0.00076,"2019-11-26 16:25:00"
28,106.14,105.98975630405,0.0220798578066523,0.00078,"2019-11-26 16:26:00"
29,106.205,106.040045569775,0.0236354439942917,0.00081,"2019-11-26 16:27:00"
30,106.64,106.209641712625,0.0276874140455553,0.00092,"2019-11-26 16:28:00"
31,107.24,106.3865089455,0.0357099637368627,0.00115,"2019-11-26 16:29:00"
32,107.15,106.3875320741,0.0428768554866302,0.00133,"2019-11-26 16:30:00"
33,107.48,106.617033167775,0.0509709358280613,0.00154,"2019-11-26 16:31:00"
34,107.855,106.86657345915,0.0602201005467918,0.00177,"2019-11-26 16:32:00"
