n,futureMid,index,X,fundingFee,create_time
2,7174.45,7174.068,0.000053247334706,0.00002,"2019-11-26 16:00:00"
3,7170.35,7172.916,-0.0003044872323795,-0.00011,"2019-11-26 16:01:07"
4,7159.55,7164.426,-0.0009850721110565,-0.00025,"2019-11-26 16:02:00"
5,7155.05,7158.522,-0.0014700884314646,-0.00030,"2019-11-26 16:03:03"
6,7150.05,7151.882,-0.0017262447830376,-0.00029,"2019-11-26 16:04:00"
7,7160.35,7155.248,-0.0010132017131119,-0.00015,"2019-11-26 16:05:00"
8,7163.35,7158.178,-0.0002906714826539,-0.00004,"2019-11-26 16:06:00"
9,7160.25,7159.686,-0.0002118970783016,-0.00003,"2019-11-26 16:07:00"
10,7165.5,7162.412,0.000219242599226,0.00002,"2019-11-26 16:08:00"
11,7165.95,7162.372,0.0007187977745226,0.00006,"2019-11-26 16:09:00"
12,7155.75,7162.15,-0.0001747886485487,-0.00002,"2019-11-26 16:10:00"
13,7151.55,7150.638,-0.0000472475815838,-0.00001,"2019-11-26 16:11:00"
14,7148.35,7145.744,0.0003174450242526,0.00002,"2019-11-26 16:12:00"
15,7146.9,7144.674,0.0006290057756598,0.00004,"2019-11-26 16:13:00"
16,7140.75,7141.554,0.0005164252364662,0.00003,"2019-11-26 16:14:00"
17,7148.25,7140.616,0.0015855206758512,0.00009,"2019-11-26 16:15:00"
18,7158.45,7151.812,0.0025136770647495,0.00013,"2019-11-26 16:16:00"
19,7154.25,7153.174,0.0026640998001673,0.00014,"2019-11-26 16:17:00"
20,7153.75,7153.506,0.002698208948884,0.00013,"2019-11-26 16:18:00"
21,7140.75,7142.42,0.0024643946394482,0.00011,"2019-11-26 16:19:00"
22,7138.85,7139.166,0.0024201317661658,0.00011,"2019-11-26 16:20:00"
23,7136.85,7135.744,0.0025751261157388,0.00011,"2019-11-26 16:21:00"
24,7143.95,7143.222,0.0026770409099311,0.00011,"2019-11-26 16:22:00"
25,7129.25,7126.518,0.0030603978312214,0.00012,"2019-11-26 16:23:00"
26,7138.25,7135.026,0.0035122532274035,0.00013,"2019-11-26 16:24:00"
27,7134.75,7134.402,0.0035610309665889,0.00013,"2019-11-26 16:25:00"
28,7131.75,7133.834,0.0032689019375142,0.00011,"2019-11-26 16:26:00"
29,7144.85,7139.578,0.0040073209309056,0.00013,"2019-11-26 16:27:00"
30,7162.05,7159.39,0.0043788609643442,0.00014,"2019-11-26 16:28:00"
31,7175.45,7169.812,0.0051652135214265,0.00016,"2019-11-26 16:29:00"
32,7170.05,7169.728,0.0052101245696559,0.00016,"2019-11-26 16:30:00"
33,7185.05,7180.598,0.0058301286417401,0.00017,"2019-11-26 16:31:00"
34,7206.05,7205.312,0.0059325530752691,0.00017,"2019-11-26 16:32:00"
35,7228.95,7224.942,0.0064872980130139,0.00018,"2019-11-26 16:33:00"
36,7252.65,7249.712,0.0068925554908281,0.00019,"2019-11-26 16:34:00"
37,7243.45,7239.784,0.0073989241891207,0.00019,"2019-11-26 16:35:00"
38,7252.15,7249.096,0.0078202180994234,0.00020,"2019-11-26 16:36:00"
39,7228.65,7230.874,0.0075126480878314,0.00019,"2019-11-26 16:37:00"
40,7226.75,7224.108,0.0078783679801696,0.00019,"2019-11-26 16:38:00"
41,7220.5,7227.97,0.006844882783081,0.00016,"2019-11-26 16:39:00"
42,7221.05,7227.104,0.0060072028493205,0.00014,"2019-11-26 16:40:00"
43,7231.85,7226.564,0.0067386708055995,0.00015,"2019-11-26 16:41:00"
44,7223.15,7227.7,0.0061091482742271,0.00013,"2019-11-26 16:42:00"
45,7213.55,7216.572,0.0056903898942095,0.00012,"2019-11-26 16:43:00"
46,7209.65,7214.22,0.0050569187774428,0.00010,"2019-11-26 16:44:00"
47,7207.65,7209.182,0.0048444120048297,0.00010,"2019-11-26 16:45:00"
48,7203.05,7208.236,0.0041249572034053,0.00008,"2019-11-26 16:46:00"
49,7216.65,7215.214,0.0043239810993008,0.00008,"2019-11-26 16:47:00"
50,7211.65,7210.43,0.0044931804397007,0.00008,"2019-11-26 16:48:00"
51,7219.45,7215.72,0.0050101073714552,0.00009,"2019-11-26 16:49:00"
52,7226.05,7219.864,0.0058669102142788,0.00011,"2019-11-26 16:50:00"
53,7229.95,7225.55,0.0064758603980018,0.00012,"2019-11-26 16:51:00"
54,7204.65,7207.774,0.006042439483306,0.00011,"2019-11-26 16:52:00"
55,7167.45,7165.95,0.0062517627412131,0.00011,"2019-11-26 16:53:00"
56,7166.35,7159.968,0.0071431075069997,0.00012,"2019-11-26 16:54:00"
57,7177.15,7172.59,0.0077788611190143,0.00013,"2019-11-26 16:55:00"
58,7174.25,7170.358,0.0083216513116378,0.00014,"2019-11-26 16:56:00"
59,7170.15,7167.036,0.0087561405481924,0.00014,"2019-11-26 16:57:00"
