n,futureMid,index,X,fundingFee,create_time
2,2.5805,2.578191353425,0.0008954519888266,0.00044,"2019-11-26 16:00:03"
3,2.5795,2.578060820925,0.0014536929206614,0.00048,"2019-11-26 16:01:07"
4,2.5775,2.5771091189,0.001605367173464,0.00040,"2019-11-26 16:02:00"
5,2.5725,2.57354401575,0.001199694784101,0.00023,"2019-11-26 16:03:08"
6,2.5655,2.5690298978,-0.0001743249589246,-0.00003,"2019-11-26 16:04:05"
7,2.5685,2.568772543525,-0.0002804236968947,-0.00005,"2019-11-26 16:05:07"
8,2.5695,2.56989191145,-0.000432924838384,-0.00006,"2019-11-26 16:06:00"
9,2.5685,2.56916041635,-0.0006899801572334,-0.00008,"2019-11-26 16:07:00"
10,2.5715,2.569821208875,-0.0000367085914131,-0.00001,"2019-11-26 16:08:00"
11,2.5695,2.5697218,-0.0001230214366402,-0.00002,"2019-11-26 16:09:00"
12,2.5665,2.569622370225,-0.0013381300304865,-0.00012,"2019-11-26 16:10:00"
13,2.5645,2.56625980695,-0.0020238778044392,-0.00016,"2019-11-26 16:11:00"
14,2.5655,2.5661759325,-0.0022872784900429,-0.00017,"2019-11-26 16:12:03"
15,2.5645,2.565819155,-0.0028014047477059,-0.00019,"2019-11-26 16:13:09"
16,2.5615,2.56496990425,-0.0041542098017733,-0.00026,"2019-11-26 16:14:02"
17,2.5605,2.562756857,-0.0050348462124557,-0.00030,"2019-11-26 16:15:00"
18,2.5655,2.56647561775,-0.0054149853196627,-0.00031,"2019-11-26 16:16:00"
19,2.5655,2.56714586015,-0.0060561098367963,-0.00032,"2019-11-26 16:17:03"
20,2.5675,2.566115212075,-0.0055164661300431,-0.00028,"2019-11-26 16:18:00"
21,2.5655,2.564576283125,-0.0051562830927601,-0.00025,"2019-11-26 16:19:00"
22,2.5655,2.564450434,-0.0047470078788256,-0.00022,"2019-11-26 16:20:04"
23,2.5655,2.5640231397,-0.0041710145201336,-0.00019,"2019-11-26 16:21:03"
24,2.5675,2.5661416565,-0.003641681505115,-0.00016,"2019-11-26 16:22:00"
25,2.5665,2.56310344965,-0.0023165105095925,-0.00010,"2019-11-26 16:23:00"
26,2.5665,2.563864514,-0.0012885755365825,-0.00005,"2019-11-26 16:24:00"
27,2.5655,2.5634042575,-0.0004710133070324,-0.00002,"2019-11-26 16:25:02"
28,2.5645,2.562672296,0.0002421890805115,0.00000,"2019-11-26 16:26:07"
29,2.5665,2.5628249086,0.0016761892682213,0.00005,"2019-11-26 16:27:00"
30,2.5715,2.56700442205,0.0034274826868784,0.00011,"2019-11-26 16:28:00"
31,2.5785,2.571775508625,0.0060422098869967,0.00019,"2019-11-26 16:29:00"
32,2.5755,2.573944925125,0.00664637000706,0.00020,"2019-11-26 16:30:00"
33,2.5805,2.5758134638,0.008465809289393,0.00025,"2019-11-26 16:31:00"
34,2.5905,2.59088221555,0.0083182859679135,0.00024,"2019-11-26 16:32:00"
35,2.5965,2.5926500341,0.0098032399144018,0.00028,"2019-11-26 16:33:00"
36,2.6025,2.600189882275,0.0106916818473343,0.00029,"2019-11-26 16:34:00"
37,2.5995,2.59684027955,0.0117158959551272,0.00031,"2019-11-26 16:35:00"
38,2.5995,2.598701286775,0.0120232468727046,0.00031,"2019-11-26 16:36:00"
39,2.5875,2.591185715325,0.0106008419469589,0.00027,"2019-11-26 16:37:00"
40,2.5885,2.5902300552,0.0099329262934721,0.00024,"2019-11-26 16:38:00"
41,2.5875,2.5896646524,0.0090970449379483,0.00022,"2019-11-26 16:39:00"
42,2.5895,2.5899087459,0.0089392224275424,0.00021,"2019-11-26 16:40:03"
43,2.5925,2.591057051075,0.0094961182799132,0.00022,"2019-11-26 16:41:00"
44,2.5925,2.5913607225,0.0099357627840951,0.00022,"2019-11-26 16:42:00"
45,2.5905,2.59314508825,0.0089157318332681,0.00019,"2019-11-26 16:43:00"
46,2.5895,2.59075544005,0.0084311472867715,0.00018,"2019-11-26 16:44:01"
47,2.5895,2.59070517045,0.0079659571664342,0.00016,"2019-11-26 16:45:00"
48,2.5885,2.5906323245,0.0071428668035778,0.00014,"2019-11-26 16:46:02"
49,2.5985,2.59587326215,0.0081547566705832,0.00016,"2019-11-26 16:47:00"
50,2.5945,2.594993957525,0.0079644065067349,0.00015,"2019-11-26 16:48:01"
51,2.5985,2.594883982775,0.0093579243861481,0.00018,"2019-11-26 16:49:00"
52,2.6005,2.596989743675,0.0107095879164139,0.00020,"2019-11-26 16:50:02"
53,2.5985,2.596527445875,0.0114692772191916,0.00021,"2019-11-26 16:51:01"
54,2.5925,2.592845499325,0.0113360261924374,0.00020,"2019-11-26 16:52:02"
55,2.5865,2.5861585783,0.0114680450496199,0.00020,"2019-11-26 16:53:00"
56,2.5845,2.58371782285,0.0117707782440432,0.00021,"2019-11-26 16:54:00"
57,2.5855,2.5841804026,0.012281422701633,0.00021,"2019-11-26 16:55:00"
58,2.5835,2.5837517088,0.0121840028144423,0.00021,"2019-11-26 16:56:00"
59,2.5825,2.583008869025,0.0119869965125661,0.00020,"2019-11-26 16:57:00"
60,2.5785,2.58003314525,0.0113927618017358,0.00018,"2019-11-26 16:58:00"
61,2.5755,2.57698186445,0.0108177230440159,0.00017,"2019-11-26 16:59:00"
62,2.5815,2.578399956675,0.0120200358647924,0.00019,"2019-11-26 17:00:00"
63,2.5795,2.57784453025,0.0126622273276885,0.00020,"2019-11-26 17:01:00"
64,2.5825,2.5801915524,0.0135569080337983,0.00021,"2019-11-26 17:02:01"
65,2.5825,2.580315400075,0.0144035486905709,0.00022,"2019-11-26 17:03:02"
66,2.5845,2.580909632575,0.0157946735016391,0.00023,"2019-11-26 17:04:00"
67,2.5855,2.58260426675,0.0169159189387668,0.00025,"2019-11-26 17:05:08"
68,2.5855,2.58494745645,0.017129673206236,0.00025,"2019-11-26 17:06:00"
69,2.5875,2.587127955575,0.0172734791684414,0.00025,"2019-11-26 17:07:00"
70,2.5835,2.584659084325,0.0168250315058349,0.00024,"2019-11-26 17:08:03"
71,2.5885,2.585159022825,0.0181173996524369,0.00025,"2019-11-26 17:09:00"
72,2.5905,2.586288752075,0.0197456973131761,0.00027,"2019-11-26 17:10:01"
73,2.5885,2.58776893125,0.0200282065979779,0.00027,"2019-11-26 17:11:03"
74,2.5865,2.58624832655,0.0201255187730758,0.00027,"2019-11-26 17:12:03"
75,2.5855,2.5856175094,0.0200800714477955,0.00026,"2019-11-26 17:13:01"
76,2.5845,2.5857496938,0.0195967710715075,0.00025,"2019-11-26 17:14:00"
77,2.5805,2.5824983977,0.0188229476678686,0.00024,"2019-11-26 17:15:00"
78,2.5825,2.58188367005,0.0190616609596986,0.00024,"2019-11-26 17:16:02"
79,2.5815,2.5818279397,0.0189346425418724,0.00023,"2019-11-26 17:17:00"
