n,futureMid,index,X,fundingFee,create_time
2,3.868,3.8627842305,0.0013502616736438,0.00067,"2019-11-26 16:00:00"
3,3.8685,3.8603840815,0.0034526220421091,0.00115,"2019-11-26 16:01:07"
4,3.8655,3.860982347,0.0046227006889359,0.00115,"2019-11-26 16:02:04"
5,3.8605,3.858164048,0.0052281575774813,0.00104,"2019-11-26 16:03:00"
6,3.856,3.857270877,0.0048986818832597,0.00081,"2019-11-26 16:04:04"
7,3.8605,3.856250142,0.0060007519885448,0.00085,"2019-11-26 16:05:05"
8,3.8605,3.8562414795,0.0071050709277602,0.00088,"2019-11-26 16:06:00"
9,3.8605,3.857829574,0.0077972803550499,0.00086,"2019-11-26 16:07:04"
10,3.8605,3.85780135775,0.0084968089206093,0.00084,"2019-11-26 16:08:00"
11,3.86,3.85791835425,0.009036386371155,0.00082,"2019-11-26 16:09:00"
12,3.8595,3.85696322125,0.0096941003820181,0.00080,"2019-11-26 16:10:00"
13,3.854,3.85339461875,0.0098512037440911,0.00075,"2019-11-26 16:11:06"
14,3.855,3.8499900695,0.0111524877499094,0.00079,"2019-11-26 16:12:00"
15,3.8535,3.8494648675,0.0122007198130378,0.00081,"2019-11-26 16:13:00"
16,3.851,3.8481358015,0.0129450278748488,0.00080,"2019-11-26 16:14:00"
17,3.8505,3.84447089625,0.0145132810656535,0.00085,"2019-11-26 16:15:00"
18,3.8535,3.85001884625,0.0154174724187401,0.00085,"2019-11-26 16:16:00"
19,3.8535,3.8507960735,0.0161196458001371,0.00084,"2019-11-26 16:17:01"
20,3.8535,3.8504561825,0.016910154081684,0.00084,"2019-11-26 16:18:00"
21,3.85,3.84674430625,0.0177565045252812,0.00084,"2019-11-26 16:19:00"
22,3.851,3.845291402,0.0192410728981828,0.00087,"2019-11-26 16:20:03"
23,3.8515,3.845790336,0.0207257258566533,0.00090,"2019-11-26 16:21:00"
24,3.8505,3.847022599,0.0216296459430348,0.00090,"2019-11-26 16:22:01"
25,3.848,3.8434146485,0.0228226870066081,0.00091,"2019-11-26 16:23:00"
26,3.849,3.844503961,0.0239921588150935,0.00092,"2019-11-26 16:24:00"
27,3.8495,3.84464802,0.0252541677102536,0.00093,"2019-11-26 16:25:00"
28,3.8465,3.84348648725,0.0260382247792706,0.00092,"2019-11-26 16:26:00"
29,3.8515,3.8446838485,0.0278111017617718,0.00095,"2019-11-26 16:27:05"
30,3.8575,3.8512737015,0.0294277873007858,0.00098,"2019-11-26 16:28:00"
31,3.8635,3.85186296425,0.0324489320969548,0.00104,"2019-11-26 16:29:00"
32,3.862,3.853874213,0.0345574043902615,0.00107,"2019-11-26 16:30:00"
33,3.864,3.85454668075,0.0370099156796462,0.00112,"2019-11-26 16:31:00"
34,3.873,3.866650414,0.0386520568923635,0.00113,"2019-11-26 16:32:01"
35,3.8815,3.873459486,0.0407278534842889,0.00116,"2019-11-26 16:33:00"
36,3.8905,3.880726423,0.043246345110515,0.00120,"2019-11-26 16:34:00"
