n,futureMid,index,X,fundingFee,create_time
2,146.865,146.8757448,-0.0000731557141354,-0.00004,"2019-11-26 16:00:00"
3,146.915,146.89701852,0.0000492530330343,0.00001,"2019-11-26 16:01:02"
4,146.695,146.83238988,-0.0008864388814833,-0.00023,"2019-11-26 16:02:00"
5,146.585,146.76374164,-0.0021043257928054,-0.00043,"2019-11-26 16:03:00"
6,146.435,146.49852044,-0.0025379167929686,-0.00043,"2019-11-26 16:04:03"
7,146.57,146.57669572,-0.0025835974515966,-0.00037,"2019-11-26 16:05:01"
8,146.555,146.59304748,-0.0028431423662707,-0.00036,"2019-11-26 16:06:00"
9,146.475,146.58223436,-0.0035747068731716,-0.00040,"2019-11-26 16:07:00"
10,146.665,146.60775056,-0.0031842129205578,-0.00032,"2019-11-26 16:08:00"
11,146.525,146.60136326,-0.0037051034382304,-0.00034,"2019-11-26 16:09:00"
12,146.335,146.439498058,-0.0044186954635091,-0.00037,"2019-11-26 16:10:00"
13,146.205,146.346667558,-0.0053867226852008,-0.00042,"2019-11-26 16:11:00"
14,146.255,146.365555058,-0.0061420579002123,-0.00044,"2019-11-26 16:12:00"
15,146.255,146.364580498,-0.0068907397030581,-0.00046,"2019-11-26 16:13:00"
16,146.115,146.301916184,-0.0081683455531751,-0.00052,"2019-11-26 16:14:00"
17,146.115,146.1964761,-0.0087256510517309,-0.00052,"2019-11-26 16:15:00"
18,146.205,146.216642744,-0.0088052777192669,-0.00049,"2019-11-26 16:16:00"
19,146.225,146.230203984,-0.0088408653328941,-0.00047,"2019-11-26 16:17:00"
20,146.205,146.26319089,-0.009238715876465,-0.00047,"2019-11-26 16:18:00"
21,146.055,146.169891808,-0.0100247314271293,-0.00048,"2019-11-26 16:19:00"
22,146.095,146.062553028,-0.0098025870696103,-0.00045,"2019-11-26 16:20:00"
23,146.095,146.04357324,-0.0094504540803997,-0.00042,"2019-11-26 16:21:00"
24,146.175,146.13505618,-0.0091771191185902,-0.00039,"2019-11-26 16:22:00"
25,146.025,145.93186388,-0.008538902641916,-0.00035,"2019-11-26 16:23:00"
26,146.085,146.0358074,-0.0082020496407527,-0.00032,"2019-11-26 16:24:00"
27,146.135,146.08418132,-0.0078541770679608,-0.00030,"2019-11-26 16:25:00"
28,146.045,146.0818466,-0.0081064096407109,-0.00029,"2019-11-26 16:26:00"
29,146.465,146.239474116,-0.0065642413214984,-0.00023,"2019-11-26 16:27:00"
30,146.675,146.427213796,-0.0048720271655615,-0.00017,"2019-11-26 16:28:00"
31,146.905,146.456248976,-0.001807965187069,-0.00006,"2019-11-26 16:29:00"
32,146.675,146.595592526,-0.0012662880968392,-0.00004,"2019-11-26 16:30:00"
33,146.925,146.621457186,0.0008039601453054,0.00002,"2019-11-26 16:31:00"
34,147.115,146.912314344,0.0021835970865995,0.00006,"2019-11-26 16:32:00"
35,147.565,147.306483204,0.0039385557983758,0.00011,"2019-11-26 16:33:00"
36,147.745,147.801260356,0.0035579071092882,0.00009,"2019-11-26 16:34:00"
37,147.605,147.488294104,0.0043491963211473,0.00011,"2019-11-26 16:35:00"
38,147.825,147.820633088,0.0043787382863572,0.00011,"2019-11-26 16:36:00"
39,147.495,147.633113468,0.0034432200631373,0.00008,"2019-11-26 16:37:00"
40,147.355,147.576826208,0.0019400964786298,0.00004,"2019-11-26 16:38:00"
41,147.34,147.459588948,0.0011291017589702,0.00002,"2019-11-26 16:39:00"
