n,futureMid,index,X,fundingFee,create_time
2,46.43,46.44295502,-0.0002789447827862,-0.00014,"2019-11-26 16:00:00"
3,46.405,46.38621848,0.0001259496150638,0.00004,"2019-11-26 16:01:05"
4,46.36,46.3657538775,0.0000018520426356,0.00000,"2019-11-26 16:02:05"
5,46.325,46.35500461,-0.0006454267194407,-0.00013,"2019-11-26 16:03:01"
6,46.255,46.28315872,-0.0012538277183949,-0.00021,"2019-11-26 16:04:02"
7,46.315,46.3174799,-0.0013073690597061,-0.00019,"2019-11-26 16:05:06"
8,46.31,46.320183035,-0.00152720918841,-0.00020,"2019-11-26 16:06:00"
9,46.28,46.30967312,-0.0021679634412658,-0.00025,"2019-11-26 16:07:00"
10,46.335,46.3245952,-0.00194335705334,-0.00020,"2019-11-26 16:08:00"
11,46.295,46.308646365,-0.0022380399272993,-0.00021,"2019-11-26 16:09:00"
12,46.265,46.2963714975,-0.0029156631726047,-0.00025,"2019-11-26 16:10:00"
13,46.215,46.27182293,-0.0041436876246771,-0.00032,"2019-11-26 16:11:00"
14,46.185,46.263583665,-0.0058422950124886,-0.00042,"2019-11-26 16:12:00"
15,46.155,46.172925045,-0.0062305105085295,-0.00042,"2019-11-26 16:13:00"
16,46.11,46.165248485,-0.007427265357969,-0.00047,"2019-11-26 16:14:00"
17,46.16,46.0743092625,-0.005567427655101,-0.00033,"2019-11-26 16:15:00"
18,46.23,46.13052134,-0.0034109668757658,-0.00019,"2019-11-26 16:16:00"
19,46.23,46.156242055,-0.0018129610218207,-0.00010,"2019-11-26 16:17:00"
20,46.175,46.1879885375,-0.0020941713085483,-0.00011,"2019-11-26 16:18:00"
21,46.105,46.160090265,-0.0032876322546542,-0.00016,"2019-11-26 16:19:00"
22,46.115,46.15867382,-0.0042337993861085,-0.00020,"2019-11-26 16:20:00"
23,46.115,46.101732555,-0.0039460131302629,-0.00018,"2019-11-26 16:21:00"
24,46.145,46.14580725,-0.0039635065938755,-0.00017,"2019-11-26 16:22:00"
25,46.075,46.0648740925,-0.0037436881812676,-0.00015,"2019-11-26 16:23:00"
26,46.085,46.10878726,-0.0042595824698306,-0.00017,"2019-11-26 16:24:00"
27,46.09,46.09422,-0.0043511340786875,-0.00017,"2019-11-26 16:25:00"
28,46.065,46.1047181625,-0.0052126112567935,-0.00019,"2019-11-26 16:26:00"
29,46.16,46.1375508725,-0.0047260417038921,-0.00017,"2019-11-26 16:27:00"
30,46.275,46.19064091,-0.0028997174023011,-0.00010,"2019-11-26 16:28:00"
31,46.455,46.3271205075,-0.0001393582196212,-0.00001,"2019-11-26 16:29:00"
32,46.33,46.30122051,0.0004822126522262,0.00001,"2019-11-26 16:30:00"
33,46.47,46.35356705,0.0029940570993732,0.00009,"2019-11-26 16:31:00"
34,46.565,46.5476832875,0.0033660780309638,0.00009,"2019-11-26 16:32:00"
35,46.685,46.59123329,0.0053786178024775,0.00015,"2019-11-26 16:33:00"
36,46.81,46.73415598,0.0070014997912408,0.00019,"2019-11-26 16:34:00"
37,46.765,46.706215415,0.008260102837488,0.00022,"2019-11-26 16:35:00"
38,46.82,46.76220737,0.0094959861126876,0.00024,"2019-11-26 16:36:00"
39,46.665,46.60834004,0.0107116475147322,0.00027,"2019-11-26 16:37:00"
40,46.635,46.57913715,0.011910958051982,0.00029,"2019-11-26 16:38:00"
41,46.625,46.5957946325,0.012537739239648,0.00030,"2019-11-26 16:39:00"
42,46.585,46.57424455,0.0127686705216026,0.00030,"2019-11-26 16:40:00"
43,46.62,46.56329063,0.0139865691974204,0.00032,"2019-11-26 16:41:00"
44,46.63,46.5788246325,0.0150852522986743,0.00034,"2019-11-26 16:42:00"
45,46.54,46.566270735,0.0145210942807496,0.00032,"2019-11-26 16:43:00"
46,46.535,46.520216325,0.0148388846129509,0.00032,"2019-11-26 16:44:00"
47,46.51,46.5099282975,0.0148404262730356,0.00031,"2019-11-26 16:45:00"
48,46.48,46.5092928125,0.0142105991841118,0.00029,"2019-11-26 16:46:01"
49,46.59,46.552026125,0.0150263289849594,0.00030,"2019-11-26 16:47:00"
50,46.53,46.533977285,0.0149408584270562,0.00029,"2019-11-26 16:48:00"
51,46.645,46.571219875,0.0165251013392674,0.00032,"2019-11-26 16:49:00"
52,46.665,46.58813418,0.0181750025716931,0.00034,"2019-11-26 16:50:00"
53,46.685,46.596072765,0.0200834731728205,0.00037,"2019-11-26 16:51:00"
54,46.53,46.4871184,0.0210059136568923,0.00038,"2019-11-26 16:52:00"
55,46.35,46.3387177625,0.0212493868914739,0.00038,"2019-11-26 16:53:00"
56,46.335,46.1933354,0.0243161626238017,0.00043,"2019-11-26 16:54:00"
57,46.335,46.2325945225,0.0265311686938193,0.00046,"2019-11-26 16:55:00"
58,46.35,46.2386523125,0.028939277103802,0.00049,"2019-11-26 16:56:00"
59,46.305,46.20791939,0.0310402288731432,0.00052,"2019-11-26 16:57:00"
60,46.24,46.20541631,0.0317887058432016,0.00052,"2019-11-26 16:58:00"
61,46.21,46.1946066825,0.0321219334341582,0.00052,"2019-11-26 16:59:00"
62,46.325,46.2462201225,0.0338254213579565,0.00054,"2019-11-26 17:00:00"
63,46.295,46.2347017325,0.0351295990695132,0.00055,"2019-11-26 17:01:00"
64,46.4,46.263253735,0.0380854280257577,0.00059,"2019-11-26 17:02:00"
65,46.395,46.33672989,0.0393429641129681,0.00060,"2019-11-26 17:03:00"
66,46.41,46.326325375,0.0411491644606683,0.00062,"2019-11-26 17:04:00"
67,46.385,46.34298355,0.0420558054833523,0.00062,"2019-11-26 17:05:00"
68,46.405,46.3367392,0.0435289518716937,0.00064,"2019-11-26 17:06:00"
69,46.35,46.3074497475,0.0444478159579695,0.00064,"2019-11-26 17:07:00"
70,46.355,46.304511795,0.04553816769785,0.00065,"2019-11-26 17:08:00"
71,46.44,46.33480881,0.047808408855666,0.00067,"2019-11-26 17:09:00"
72,46.51,46.381987325,0.0505683741435483,0.00070,"2019-11-26 17:10:00"
73,46.43,46.3539899,0.0522081488460922,0.00071,"2019-11-26 17:11:00"
74,46.375,46.32414931,0.0533058633375059,0.00072,"2019-11-26 17:12:00"
75,46.315,46.31410767,0.0533251302530288,0.00071,"2019-11-26 17:13:00"
76,46.345,46.3665990133333333,0.0528592989478877,0.00069,"2019-11-26 17:14:00"
77,46.275,46.309974445,0.0521040740655777,0.00067,"2019-11-26 17:15:00"
78,46.325,46.2976786125,0.0526941984156271,0.00067,"2019-11-26 17:16:00"
79,46.275,46.27154909,0.0527687779373389,0.00066,"2019-11-26 17:17:00"
80,46.24,46.2335452225,0.0529083903652618,0.00066,"2019-11-26 17:18:00"
81,46.265,46.22087355,0.0538630769951513,0.00066,"2019-11-26 17:19:00"
82,46.35,46.23486138,0.0563533757992006,0.00068,"2019-11-26 17:20:00"
83,46.365,46.26120464,0.0585970562395982,0.00070,"2019-11-26 17:21:00"
84,46.305,46.2437393,0.0599217912399964,0.00071,"2019-11-26 17:22:00"
85,46.305,46.2424550225,0.0612743357247035,0.00072,"2019-11-26 17:23:00"
86,46.285,46.23382362,0.0623812391991083,0.00072,"2019-11-26 17:24:00"
87,46.325,46.242186555,0.0641721027194027,0.00073,"2019-11-26 17:25:00"
88,46.29,46.24294936,0.0651895689634718,0.00074,"2019-11-26 17:26:00"
89,46.24,46.21271165,0.065780063418908,0.00073,"2019-11-26 17:27:00"
90,46.29,46.205745425,0.0676035287526024,0.00075,"2019-11-26 17:28:00"
91,46.3,46.2348232325,0.0690132187425964,0.00075,"2019-11-26 17:29:00"
92,46.265,46.2244018125,0.0698915034993073,0.00075,"2019-11-26 17:30:00"
93,46.26,46.19545762,0.0712886620799391,0.00076,"2019-11-26 17:31:00"
94,46.325,46.20198462,0.0739512182669031,0.00078,"2019-11-26 17:32:00"
95,46.375,46.24218411,0.0768233985619354,0.00080,"2019-11-26 17:33:00"
96,46.365,46.2634304,0.0790188604877332,0.00082,"2019-11-26 17:34:01"
97,46.39,46.2914357033333333,0.0811480728391999,0.00083,"2019-11-26 17:35:00"
98,46.345,46.2736184533333333,0.0826906698751039,0.00084,"2019-11-26 17:36:00"
99,46.445,46.2682482666666667,0.0865108217061096,0.00087,"2019-11-26 17:37:00"
