n,futureMid,index,X,fundingFee,create_time
2,0.01445,0.014431433402,0.0012865387299245,0.00064,"2019-11-26 16:00:01"
3,0.014445,0.014428786659,0.0024102188690224,0.00080,"2019-11-26 16:01:05"
4,0.014425,0.0144150731026667,0.0030988659027626,0.00077,"2019-11-26 16:02:06"
5,0.014415,0.0144095849633333,0.0034746599787529,0.00069,"2019-11-26 16:03:06"
6,0.014375,0.0143770002833333,0.0033355291938965,0.00055,"2019-11-26 16:04:10"
7,0.014415,0.0143841040026667,0.0054834556360003,0.00078,"2019-11-26 16:05:05"
8,0.014405,0.0143993703373333,0.0058744215278979,0.00073,"2019-11-26 16:06:05"
9,0.014405,0.014391195456,0.0068336569188844,0.00075,"2019-11-26 16:07:06"
10,0.01442,0.014395461128,0.0085382825492694,0.00085,"2019-11-26 16:08:04"
11,0.01442,0.0143996288566667,0.0099529817429828,0.00090,"2019-11-26 16:09:04"
12,0.01439,0.0143981032276667,0.0093901834675037,0.00078,"2019-11-26 16:10:03"
13,0.01438,0.0143730497226667,0.0098737466268476,0.00075,"2019-11-26 16:11:09"
14,0.014375,0.014366439205,0.0104696350636302,0.00074,"2019-11-26 16:12:09"
15,0.014375,0.014364228126,0.0112195447633029,0.00074,"2019-11-26 16:13:00"
16,0.014365,0.014359993592,0.011568180573474,0.00072,"2019-11-26 16:14:01"
17,0.01437,0.014339810225,0.0136734926052446,0.00080,"2019-11-26 16:15:01"
18,0.01438,0.0143653082886667,0.0146962142230528,0.00081,"2019-11-26 16:16:02"
19,0.01439,0.0143732647803333,0.0158605439645878,0.00083,"2019-11-26 16:17:02"
20,0.014395,0.014372873914,0.0173999776319525,0.00086,"2019-11-26 16:18:03"
21,0.014355,0.0143448265936667,0.018109181487912,0.00086,"2019-11-26 16:19:03"
22,0.014345,0.014340793768,0.018402486870309,0.00083,"2019-11-26 16:20:04"
23,0.01435,0.014332535822,0.0196209856912359,0.00085,"2019-11-26 16:21:04"
24,0.01436,0.01435238024,0.0201518913579324,0.00083,"2019-11-26 16:22:05"
25,0.01435,0.01433356064,0.0212988052625014,0.00085,"2019-11-26 16:23:05"
26,0.014355,0.014336097116,0.0226173568771457,0.00086,"2019-11-26 16:24:06"
27,0.014345,0.014335484469,0.0232811315141715,0.00086,"2019-11-26 16:25:06"
28,0.014345,0.0143319681346667,0.0241904180274297,0.00086,"2019-11-26 16:26:07"
29,0.014375,0.01434513578,0.0262722540210378,0.00090,"2019-11-26 16:27:08"
30,0.014385,0.0143750758533333,0.0269626257984081,0.00089,"2019-11-26 16:28:03"
31,0.014415,0.0143866832636667,0.0289308860161619,0.00093,"2019-11-26 16:29:05"
32,0.014405,0.014370986768,0.0312976846604789,0.00097,"2019-11-26 16:30:06"
33,0.014445,0.014415913488,0.0333153515966888,0.00100,"2019-11-26 16:31:06"
34,0.014495,0.01447595572,0.0346309317468607,0.00101,"2019-11-26 16:32:06"
35,0.014515,0.0144898584893333,0.0363660425959561,0.00103,"2019-11-26 16:33:02"
36,0.014545,0.014537975266,0.036849241519566,0.00102,"2019-11-26 16:34:02"
37,0.01453,0.01451216202,0.0380784160543745,0.00102,"2019-11-26 16:35:08"
38,0.01452,0.0145137667106667,0.0385078903223272,0.00101,"2019-11-26 16:36:09"
39,0.014485,0.0145030113363333,0.0372659871123243,0.00095,"2019-11-26 16:37:05"
40,0.01448,0.01449231523,0.0364162105373222,0.00091,"2019-11-26 16:38:05"
41,0.01448,0.0144658192983333,0.0373965007907981,0.00091,"2019-11-26 16:39:06"
42,0.01448,0.014461752145,0.0386583019070832,0.00092,"2019-11-26 16:40:07"
43,0.014495,0.0144643239366667,0.0407791105579138,0.00094,"2019-11-26 16:41:07"
44,0.01449,0.0144929114983333,0.0405782193613012,0.00092,"2019-11-26 16:42:06"
45,0.014485,0.0144791442,0.0409826493413548,0.00091,"2019-11-26 16:43:07"
46,0.014455,0.0144749388796667,0.0396051734271242,0.00086,"2019-11-26 16:44:08"
47,0.01445,0.0144237538873333,0.0414248184981447,0.00088,"2019-11-26 16:45:08"
48,0.01445,0.0144452213206667,0.0417556323518904,0.00086,"2019-11-26 16:46:09"
49,0.01448,0.014441120442,0.0444479136160867,0.00090,"2019-11-26 16:47:09"
50,0.014465,0.014435599703,0.046484565892742,0.00092,"2019-11-26 16:48:00"
51,0.014475,0.0144437935206667,0.0486451118247126,0.00095,"2019-11-26 16:49:01"
52,0.01449,0.0144490968126667,0.0514759591685716,0.00098,"2019-11-26 16:50:01"
53,0.0145,0.0144818115573333,0.0527319099586155,0.00099,"2019-11-26 16:51:08"
54,0.01445,0.0144630665633333,0.0518284664685311,0.00095,"2019-11-26 16:52:02"
55,0.014385,0.0143640587786667,0.0532863567247587,0.00096,"2019-11-26 16:53:10"
56,0.014385,0.014370263341,0.0543118535197933,0.00096,"2019-11-26 16:54:00"
57,0.014395,0.014381932376,0.0552204674430381,0.00096,"2019-11-26 16:55:08"
58,0.014405,0.0143837190733333,0.0566999823416677,0.00097,"2019-11-26 16:56:00"
59,0.01439,0.0143750065233333,0.0577430063321168,0.00097,"2019-11-26 16:57:07"
60,0.014345,0.0143729104123333,0.0558011301544603,0.00093,"2019-11-26 16:58:03"
61,0.01435,0.0143412800933333,0.0564091586295999,0.00092,"2019-11-26 16:59:03"
62,0.01438,0.0143394296933333,0.0592384417694699,0.00095,"2019-11-26 17:00:04"
63,0.01438,0.014339834262,0.062039432162116,0.00098,"2019-11-26 17:01:04"
64,0.014395,0.014348269042,0.0652963377765291,0.00102,"2019-11-26 17:02:05"
65,0.01439,0.0143791960946667,0.066047694477013,0.00101,"2019-11-26 17:03:09"
66,0.01439,0.0143746071153333,0.0671185331123368,0.00101,"2019-11-26 17:04:06"
67,0.0144,0.014399830614,0.0671302961673713,0.00100,"2019-11-26 17:05:02"
68,0.01438,0.0143976671363333,0.0659032129068675,0.00096,"2019-11-26 17:06:07"
69,0.014375,0.014381437239,0.0654556054186156,0.00094,"2019-11-26 17:07:09"
70,0.01437,0.01437168918,0.0653380701742303,0.00093,"2019-11-26 17:08:00"
71,0.01439,0.014381843236,0.0659052272392984,0.00092,"2019-11-26 17:09:00"
72,0.0144,0.0143636830476667,0.0684336144372601,0.00095,"2019-11-26 17:10:08"
73,0.0144,0.0143636830476667,0.0709620016352218,0.00097,"2019-11-26 17:10:08"
74,0.01438,0.0143660153466667,0.0719354555120161,0.00097,"2019-11-26 17:11:03"
75,0.014365,0.0143531179053333,0.0727632961766764,0.00097,"2019-11-26 17:12:04"
76,0.014365,0.014340918088,0.0744425409678554,0.00097,"2019-11-26 17:13:04"
77,0.01437,0.014381925093,0.0736133687309756,0.00095,"2019-11-26 17:14:05"
78,0.01436,0.0143565652473333,0.0738526148603614,0.00094,"2019-11-26 17:15:05"
79,0.014375,0.0143625640313333,0.0747184747889625,0.00094,"2019-11-26 17:16:06"
80,0.014365,0.0143325736966667,0.0769808949250502,0.00096,"2019-11-26 17:17:06"
81,0.014365,0.014330150035,0.0794128279414444,0.00098,"2019-11-26 17:18:07"
82,0.01436,0.014349129592,0.0801703936133065,0.00097,"2019-11-26 17:19:08"
83,0.014385,0.014347168146,0.0828072801134865,0.00099,"2019-11-26 17:20:08"
84,0.0144,0.0143602486586667,0.0855754314371969,0.00101,"2019-11-26 17:21:09"
85,0.01437,0.01436463674,0.0859487969525994,0.00101,"2019-11-26 17:22:00"
86,0.01437,0.014356754904,0.0868713658818989,0.00101,"2019-11-26 17:23:00"
87,0.014355,0.0143242509643333,0.0890180076674459,0.00102,"2019-11-26 17:24:01"
88,0.014365,0.014330506028,0.0914250386496459,0.00103,"2019-11-26 17:25:01"
89,0.01436,0.014353245332,0.0918956407917928,0.00103,"2019-11-26 17:26:03"
