n,futureMid,index,X,fundingFee,create_time
2,0.21925,0.21901801245,0.0010592167621508,0.00052,"2019-11-26 16:00:02"
3,0.21905,0.2190458871,0.0010779931932194,0.00035,"2019-11-26 16:01:06"
4,0.21905,0.2188657048,0.0019200401469365,0.00048,"2019-11-26 16:02:09"
5,0.21885,0.2187419792,0.0024138676252973,0.00048,"2019-11-26 16:03:05"
6,0.21865,0.218625915525,0.0025240305716349,0.00042,"2019-11-26 16:04:08"
7,0.21895,0.218698658,0.0036732923105889,0.00052,"2019-11-26 16:05:06"
8,0.21875,0.21866335755,0.004069529023364,0.00050,"2019-11-26 16:06:00"
9,0.21875,0.2186331296,0.004604079300414,0.00051,"2019-11-26 16:07:05"
10,0.21895,0.218744106725,0.0055453310583817,0.00055,"2019-11-26 16:08:02"
11,0.21865,0.2186017701,0.0057659601044225,0.00052,"2019-11-26 16:09:00"
12,0.21855,0.218550197,0.0057650587096733,0.00048,"2019-11-26 16:10:04"
13,0.21855,0.21831379635,0.0068470043033513,0.00052,"2019-11-26 16:11:01"
14,0.21835,0.218270258375,0.0072123386626619,0.00051,"2019-11-26 16:12:08"
15,0.21835,0.21820049465,0.0078975128655884,0.00052,"2019-11-26 16:13:08"
16,0.21815,0.21821113795,0.0076173349123713,0.00047,"2019-11-26 16:14:04"
17,0.21835,0.2180541125,0.0089742801981429,0.00052,"2019-11-26 16:15:03"
18,0.21835,0.21824289715,0.0094650308773111,0.00052,"2019-11-26 16:16:05"
19,0.21835,0.218094718425,0.0106355387045686,0.00055,"2019-11-26 16:17:05"
20,0.21815,0.218036858025,0.0111544508555913,0.00055,"2019-11-26 16:18:08"
21,0.21835,0.217989096825,0.0128100528111777,0.00061,"2019-11-26 16:19:05"
22,0.21835,0.218136531125,0.013788654945809,0.00062,"2019-11-26 16:20:03"
23,0.21835,0.21812150015,0.0148362355366396,0.00064,"2019-11-26 16:21:04"
24,0.21845,0.2181731301,0.0161052731118584,0.00067,"2019-11-26 16:22:03"
25,0.21825,0.2180232511,0.0171452947556783,0.00068,"2019-11-26 16:23:07"
26,0.21815,0.2180091157,0.017791525990311,0.00068,"2019-11-26 16:24:08"
27,0.21815,0.21798285295,0.018558315890241,0.00068,"2019-11-26 16:25:01"
28,0.21815,0.2179736881,0.0193671837014747,0.00069,"2019-11-26 16:26:01"
29,0.21835,0.21805362685,0.0207263592138539,0.00071,"2019-11-26 16:27:05"
30,0.21885,0.218390944725,0.0228283478085643,0.00076,"2019-11-26 16:28:01"
